Gene	Parameter1	Parameter2
ADAMTSL4	172.589542861152	254322
ADAMTSL5	51.2120578178573	253656
ADAP1	17.0651917894492	252980
ADAP2	43.185286664821	254584
ADAR	30.1708615515963	254308
ADARB1	7.93417562527439	254120
ADARB2	9.17321017637428	253936
ADAT1	67.2304256738831	254316
ADAT2	35.6244810344606	254550
ADAT3	36.3571246998018	244494
ADC	42.9098651215664	254042
ADCK1	66.223121332382	254842
ADCK2	76.2351698734844	254660
ADCK5	21.3960413123893	253918
ADCY1	22.1848089638403	254582
ADCY10	200.932455103942	254842
ADCY2	48.0556955374154	254048
ADCY3	49.5472709125865	254662
ADCY4	69.4656569818507	254124
ADCY5	21.260528008463	254292
ADCY6	44.0561320945833	254138
ADCY7	66.1472236956527	254342
ADCY8	30.5866019948628	254450
ADCY9	33.0955975814744	254836
ADCYAP1	4.42686916063832	254464
ADCYAP1R1	29.4043553208316	254318
ADD1	24.5482498226403	254320
ADD2	29.0844867845312	254104
ADD3	14.6495631249799	254032
ADH1A	50.6042601972973	254584
ADH1B	37.5917743630464	254416
ADH4	47.695627364807	254216
ADH5	39.7721525515708	254446
ADH6	51.6689054430406	254452
ADH7	35.7688743700459	254424
ADHFE1	38.0465912106324	254018
ADI1	29.4690844952077	254292
ADIPOQ	36.4456467048697	254668
ADIPOR1	5.6289974617527	254076
ADIPOR2	12.8193878089335	253770
ADIRF	12.2331028401588	253810
ADK	8.89250286971734	254592
ADM	117.593631531457	253932
ADM2	14.5087852914033	235134
ADM5	9.44595466828977	164492
ADNP	9.85504830610359	254420
ADNP2	21.2517324153418	254110
ADO	3.50865958393627	244352
ADORA1	8.38659428185478	254564
ADORA2A	14.6072402117585	254314
ADORA2B	22.5436935449321	254340
ADORA3	8.04248988708288	254552
ADPGK	34.9705516706205	254556
ADPRH	36.6459420637909	254672
ADPRHL1	37.8878093541175	254636
ADPRHL2	24.4964909502864	254554
ADPRM	29.562093379222	254316
ADRA1A	66.8454899548933	254788
ADRA1B	18.4914848151027	254010
ADRA2B	35.6886571507733	254138
ADRA2C	4.73150431777083	249132
ADRB2	4.42691381885406	254142
ADRB3	42.4045870268206	253632
ADRM1	4.76927969246901	238608
ADSL	32.2949105749285	254048
ADSS	10.1423923177255	254206
ADSSL1	48.5001452262531	254322
ADTRP	25.6285390958086	254336
AEBP1	103.593186477285	254044
AEBP2	37.3232645401649	131716
AEN	54.5683329800246	254284
AES	11.8265578245212	199880
AFAP1	38.8114199621514	254590
AFAP1L1	45.9871101515959	254090
AFAP1L2	34.8186018136182	254600
AFF1	30.5877891992454	254658
AFF3	15.7063273164346	254222
AFF4	11.6280182436376	254338
AFG3L2	48.19095944433	254138
AFM	55.1448445057569	253890
AFMID	63.2166268619197	254588
AFP	49.4437599084388	254008
AFTPH	17.4540573994658	254520
AGA	55.7935764176038	254594
AGAP1	10.5169955718913	254842
AGAP2	10.2120584721774	254840
AGAP2-AS1	0.583837820256595	254052
AGAP3	260.115923998953	254640
AGBL1	161.007722360205	254618
AGBL2	107.403809868724	254670
AGBL4	29.6072001845804	254470
AGBL5	82.1489707147872	254052
AGER	121.069659586087	254318
AGFG1	3.26899981887969	254268
AGFG2	44.8075822470098	254298
AGGF1	38.7735482470021	254090
AGK	48.4546773798414	254128
AGL	200.319570010843	254586
AGMAT	21.5317018631491	254582
AGMO	83.2342694224519	254550
AGO1	4.59863334150076	254450
AGO2	4.10041874808126	254666
AGO3	7.50088290064415	254518
AGO4	18.2843349825081	254368
AGPAT1	3.07320113144122	250318
AGPAT2	29.6774657282035	254538
AGPAT3	7.98902186861469	254074
AGPAT4	9.20391186294295	254114
AGPAT5	26.9505486832289	254116
AGPAT6	10.1487234000798	254140
AGPAT9	83.1993592515187	254092
AGPS	5.74293869393223	254672
AGR2	20.5237820566311	254576
AGR3	41.5601533824585	254530
AGRN	68.7545481484596	253770
AGRP	19.303897619612	254048
AGT	46.6696966895494	254840
AGTPBP1	41.0825846894867	254768
AGTR1	35.554242850886	254536
AGTRAP	33.5520773029793	254338
AGXT	32.9760987259124	254616
AGXT2	86.4145901370304	254274
AHCTF1	44.3356323796469	253746
AHCY	27.8573596803845	254814
AHCYL1	7.57036863759798	254032
AHCYL2	12.7883689666614	254696
AHDC1	2.91188660766688	253532
AHI1	151.882041558543	253982
AHNAK	103.153443303868	254052
AHR	11.0588283935885	254296
AHRR	47.3664442311505	254438
AHSA1	2.96929112299638	254640
AHSA2	56.3359678090789	254432
AHSG	51.6481555962532	254664
AHSP	18.2444973445722	254024
AICDA	15.7246941864165	254526
AIDA	12.8105285940674	254474
AIF1	18.2355876750735	254304
AIF1L	13.4478259120288	254618
AIFM2	34.8070567359541	254660
AIFM3	59.9824797179522	254658
AIG1	46.587783459083	253916
AIM1L	140.131407948037	254286
AIM2	54.5711317082656	254314
AIMP1	31.7415021050953	254770
AIMP2	16.471667811457	254466
AIP	10.8418942834276	254024
AIPL1	17.8467718081586	254044
AIRE	47.3036783793781	253640
AJAP1	1.82508070473491	254636
AJUBA	15.2809844379553	253882
AK1	15.5144463298665	254566
AK2	36.6955297470494	254574
AK3	15.5412304641444	254032
AK4	5.44140520412046	253922
AK5	19.4335519263014	254234
AK7	106.412448605843	254592
AK8	42.0152824785594	254588
AK9	148.204632768949	254268
AKAP1	27.4326998379936	254042
AKAP10	18.737787334443	254552
AKAP11	24.7712520072524	254342
AKAP12	47.2265423136985	254828
AKAP13	75.5854456557838	254670
AKAP2	4.91609316720316	131518
AKAP3	51.9227014330241	253930
AKAP5	6.48447556058627	254336
AKAP6	29.7844874565153	253956
AKAP7	40.7331042959252	253920
AKAP8	23.334637289593	254482
AKAP8L	17.6534895322579	254654
AKAP9	150.740562989068	254014
AKIP1	33.5137297997833	254334
AKIRIN1	3.42216979033921	250828
AKIRIN2	4.83743431317763	253942
AKNA	65.6389574487543	254110
AKNAD1	115.855205761649	254582
AKR1A1	41.8713310787023	254652
AKR1B1	16.7171004545104	254590
AKR1B10	50.6644255275462	254008
AKR1B15	48.6897834164582	254170
AKR1C1	45.0041773871609	254838
AKR1C2	42.02804682978	254486
AKR1C3	83.1973974322538	254658
AKR1C4	72.9884302967225	254526
AKR1D1	39.8390498175461	254332
AKR1E2	58.9305423175736	254592
AKR7A2	37.57841250962	254100
AKR7A3	110.714484233839	254828
AKR7L	6.37648031596544	254120
AKT1	7.33353793272996	254380
AKT1S1	8.51711427316376	254584
AKT2	9.13205973961258	254544
AKT3	6.50649510398682	253800
AKTIP	11.845796883887	254840
ALAD	26.9626167571342	253864
ALAS1	32.4322310994237	254834
ALB	18.7380652461875	254572
ALCAM	10.2421988061848	254108
ALDH16A1	92.2086597155799	254472
ALDH18A1	23.0894911483567	254470
ALDH1A1	8.15805013222137	254388
ALDH1A2	17.157966657216	254536
ALDH1A3	14.0270415408036	254312
ALDH1B1	58.6674268167042	254338
ALDH1L1	92.9260681312839	254332
ALDH1L2	83.9465671379539	254134
ALDH2	48.0079384364867	254588
ALDH3A1	65.952464001858	254836
ALDH3A2	52.3081382642127	254342
ALDH3B1	10.7778414769634	253888
ALDH3B2	67.7150579727043	254126
ALDH4A1	60.5193459845552	254482
ALDH5A1	56.2426196232234	254588
ALDH6A1	51.6540745896546	254570
ALDH7A1	77.717138330227	254136
ALDH8A1	67.7107183327384	254284
ALDH9A1	44.2531125005867	254144
ALDOA	20.8782573699313	254668
ALDOB	35.8474123663266	254286
ALDOC	22.8335471150841	254134
