Gene	Parameter1	Parameter2
ALS2	136.624370148581	256846
ALS2CL	54.2743648162273	256990
ALS2CR12	1.04934341470973	256850
ALX1	160.36817581375	257564
ALX3	134.437638508441	258216
ALX4	203.793597267781	255870
ALYREF	18.7001993777431	255854
AMACR	79.4341243233755	257592
AMBN	0	257592
AMBP	76.1868788403389	258224
AMBRA1	183.329505174472	257162
AMD1	4.5812437091329	256512
AMDHD1	91.4168281092552	255860
AMDHD2	235.74676762536	256346
AMER3	0	256892
AMFR	1.41465652467597	250468
AMH	60.3956994857618	247370
AMHR2	234.20499930186	257772
AMICA1	216.563466608825	258228
AMIGO1	0.209976890764122	257592
AMIGO2	19.3841783744139	257910
AMIGO3	56.4017925101259	256616
AMMECR1L	4.82670563669975	256978
AMN	122.912198239139	257946
AMN1	0.0359703033220679	256892
AMOTL1	1.01087889940692	257940
AMOTL2	0	255872
AMPD1	421.423583892027	257172
AMPD2	168.153368653162	257160
AMPD3	454.231636039199	255872
AMPH	27.6566758732519	257146
AMT	196.149188343199	256092
AMTN	0.0343710850693749	258232
AMY2A	54.7331780990963	256404
AMY2B	314.585301480688	256614
AMZ1	20.3891508426788	257802
AMZ2	18.5682213253805	257920
ANAPC10	29.1080756035974	257740
ANAPC11	3.24659738962134	255596
ANAPC13	5.13468823693347	256982
ANAPC15	4.46746757917426	258168
ANAPC16	0	256892
ANAPC2	60.2079608164993	258150
ANAPC4	0.143424533219174	258232
ANAPC5	30.8533321823214	258230
ANAPC7	17.3979442328497	255868
ANG	38.1574033609488	256990
ANGEL1	103.642724955716	255868
ANGEL2	132.225179126454	258202
ANGPT1	40.622213083778	258178
ANGPT2	100.654222771075	257908
ANGPT4	92.5640147246242	258190
ANGPTL1	81.2998751584047	255978
ANGPTL2	106.063981922068	258228
ANGPTL3	35.7964691575509	256902
ANGPTL4	41.5639561750179	255960
ANGPTL5	131.386203908229	256956
ANGPTL6	102.436289558989	257898
ANGPTL7	149.608610182777	257882
ANK1	300.501225631273	258232
ANK2	731.829370899836	256974
ANK3	289.231438590855	257868
ANKAR	22.1532343612985	257712
ANKDD1A	113.016907517655	257562
ANKEF1	116.943604399632	257124
ANKFN1	14.6555284260569	256686
ANKFY1	71.90066569927	257152
ANKH	243.21190649912	257168
ANKHD1	8.2562961169204	255942
ANKHD1-EIF4EBP3	5.90116525279392	256992
ANKIB1	16.7259242006586	255802
ANKK1	68.3684905539298	255826
ANKLE1	120.422248815821	258220
ANKLE2	40.9923155030682	256862
ANKMY1	75.5656657170564	258218
ANKMY2	56.5614718708539	255818
ANKRA2	16.6280183424151	256796
ANKRD1	17.7607292986587	255988
ANKRD10	35.9194886617223	258230
ANKRD11	22.5332045184994	257504
ANKRD12	125.703331934346	258162
ANKRD13A	35.8020014966944	256882
ANKRD13B	18.8881899464938	258186
ANKRD13C	4.73581735071661	258112
ANKRD13D	16.2630285387008	257784
ANKRD16	38.5004647089667	256092
ANKRD17	80.1436106630277	257156
ANKRD18A	0.244139566748151	257172
ANKRD2	46.9450223597026	256056
ANKRD20A4	0.0085806960423624	257592
ANKRD22	18.5218807581963	256884
ANKRD23	16.6276141301727	256752
ANKRD24	13.0748314458734	256852
ANKRD26	31.9222655166269	255794
ANKRD27	89.7877971976137	256080
ANKRD28	79.9012898037016	258060
ANKRD29	34.6834333577844	257890
ANKRD30A	0.292751579679894	257172
ANKRD30B	0.368871981229848	258232
ANKRD32	45.7949147205307	256978
ANKRD33	49.9640761720304	256048
ANKRD34A	0.510240222945565	256892
ANKRD34B	16.3955346089383	256962
